,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
155,132,Spiaggia di Briatico,Spiaggia Briatico,4.5,82,38.72621131,16.02392043,15/07/2025,Summer 2025,"101,9",114.0,True,26/05/2025,False,False,False,
156,132,Spiaggia di Briatico,Spiaggia Briatico,4.5,82,38.72621131,16.02392043,10/10/2025,Autumn 2025,"101,9",197.0,False,15/07/2025,False,False,False,
157,92,Spiaggia di Capaci,Spiaggia Capaci,4.0,378,38.17969411,13.22758842,13/07/2025,Summer 2025,"157,32",423.0,False,,False,False,False,
158,92,Spiaggia di Capaci,Spiaggia Capaci,4.0,378,38.17969411,13.22758842,14/12/2025,Winter 2025-2026,"157,32",260.0,False,13/07/2025,False,False,False,
162,45,Spiaggia di Castrocucco di Maratea,Spiaggia di Castrocucco,4.2,343,3.992866e-07,1.575446e-07,29/11/2025,Autumn 2025,"523,96",42.0,True,29/11/2025,False,True,False,
163,45,Spiaggia di Castrocucco di Maratea,Spiaggia di Castrocucco,4.2,343,3.992866e-07,1.575446e-07,08/12/2025,Winter 2025-2026,"504,99",63.0,True,08/12/2025,False,True,False,
164,65,Spiaggia di Fiorenzuola di Focara (PU),Spiaggia di Fiorenzuola di Focara,4.5,873,43.95084815,12.82954216,05/01/2025,Winter 2024-2025,"403,42",539.0,True,05/01/2025,False,False,True,10.0
166,155,Spiaggia di Sant'Agata,Spiaggia di S. Agata Messina,4.5,57,3.824971e-07,1.559121e-07,05/10/2025,Autumn 2025,"143,85",258.0,True,05/10/2025,False,False,False,
167,51,spiaggia di Sovereto,Spiaggia di Sovereto,4.7,37,38.91883338,17.05012679,10/09/2025,Autumn 2025,"953,58",118.0,False,,False,False,False,
168,51,spiaggia di Sovereto,Spiaggia di Sovereto,4.7,37,38.91883338,17.05012679,10/11/2025,Autumn 2025,"953,58",69.0,False,,False,False,False,0.0
169,111,spiaggia di sturla,Spiaggia Sturla,3.8,1678,44.39181987,89.84821916,08/06/2025,Summer 2025,"247,95",234.0,False,08/06/2025,False,False,True,0.0
170,111,spiaggia di sturla,Spiaggia Sturla,3.8,1678,44.39181987,89.84821916,21/12/2025,Winter 2025-2026,"247,95",336.0,True,21/12/2025,False,False,True,8.0
171,54,Spiaggia ecologica ex Nereo Noli,Bagni Tripodoro,4.2,224,44.21638461,84.15575624,27/08/2024,Summer 2024,"90,49",185.0,True,26/06/2024,False,False,False,
172,54,Spiaggia ecologica ex Nereo Noli,Bagni Tripodoro,4.2,224,44.21638461,84.15575624,10/05/2025,Spring 2025,"95,27",225.0,True,10/05/2025,False,False,False,
173,54,Spiaggia ecologica ex Nereo Noli,Bagni Tripodoro,4.2,224,44.21638461,84.15575624,08/11/2025,Autumn 2025,"90,49",256.0,True,10/05/2025,False,False,False,
174,158,Spiaggia libera - Braccio Levante Barletta,Spiaggia della Litoranea di Levante,4.1,73,41.32015533,16.29944086,13/10/2025,Autumn 2025,"992,18",3275.0,True,13/10/2025,False,True,True,1.0
175,66,Spiaggia libera di Igea Marina,Bagno Spiaggia Libera,4.2,281,4.41167876,12.50289738,28/09/2025,Autumn 2025,"439,9",874.0,True,,False,False,False,
176,82,Spiaggia Libera di Punta Vagno,Passeggiata di Corso Italia,4.6,386,44.39324932,89.49779391,04/03/2025,Spring 2025,"103,13",272.0,True,04/03/2025,False,False,False,
177,82,Spiaggia Libera di Punta Vagno,Passeggiata di Corso Italia,4.6,386,44.39324932,89.49779391,25/10/2025,Autumn 2025,"103,13",307.0,True,25/10/2025,False,True,False,
178,64,Spiaggia libera Marano - colonia Bolognese,Spiaggia Le Colonie,4.7,7,44.02347862,12.63465285,16/03/2025,Spring 2025,"668,59",982.0,True,16/03/2025,False,False,False,
179,64,Spiaggia libera Marano - colonia Bolognese,Spiaggia Le Colonie,4.7,7,44.02347862,12.63465285,11/05/2025,Spring 2025,"668,59",639.0,True,11/05/2025,False,False,False,
180,64,Spiaggia libera Marano - colonia Bolognese,Spiaggia Le Colonie,4.7,7,44.02347862,12.63465285,14/12/2025,Winter 2025-2026,"668,59",1040.0,True,14/12/2025,False,False,False,
181,131,Spiaggia Lido La Duna,Lido La Duna Policoro,4.3,211,4.01770107,1.67088747,03/07/2025,Summer 2025,"557,51",51.0,True,03/07/2025,False,False,False,
182,131,Spiaggia Lido La Duna,Lido La Duna Policoro,4.3,211,4.01770107,1.67088747,24/08/2025,Summer 2025,"557,51",61.0,True,24/08/2025,False,False,False,
184,147,SPIAGGIA  LUNGOMARE AMERIGO VESPUCCI LIDO DI CASTELFUSANO,Spiaggia libera Bianca- L’Amanusa,4.1,393,41.70291379,12.33860725,08/11/2025,Autumn 2025,"103,74",531.0,True,,False,True,False,
185,118,Spiaggia nel Parco delle Dune Costiere,Lido Morelli,4.1,3147,40.81025258,17.52622962,28/06/2025,Summer 2025,"259,89",309.0,True,28/06/2025,False,False,False,
186,118,Spiaggia nel Parco delle Dune Costiere,Lido Morelli,4.1,3147,40.81025258,17.52622962,20/09/2025,Autumn 2025,"184,2",550.0,True,20/09/2025,False,False,False,
187,118,Spiaggia nel Parco delle Dune Costiere,Lido Morelli,4.1,3147,40.81025258,17.52622962,02/11/2025,Autumn 2025,"528,7",405.0,True,20/09/2025,False,False,False,
189,104,Spiaggia Ombelico di Venere,Spiaggia - Ombelico di Venere,4.4,564,3.80295527,13.58817977,19/10/2025,Autumn 2025,"51,14",432.0,True,12/10/2025,False,True,True,1.0
190,104,Spiaggia Ombelico di Venere,Spiaggia - Ombelico di Venere,4.4,564,3.80295527,13.58817977,26/12/2025,Winter 2025-2026,"51,14",121.0,True,19/10/2025,False,False,False,
191,145,Spiaggia Sabbie Nere Santa Severa,Sabbie Nere Santa Severa,4.5,11806,42.01371519,11.96492672,11/10/2025,Autumn 2025,"352,54",131.0,True,,False,False,False,
192,145,Spiaggia Sabbie Nere Santa Severa,Sabbie Nere Santa Severa,4.5,11806,42.01371519,11.96492672,16/11/2025,Autumn 2025,"352,54",116.0,True,11/10/2025,False,False,False,
193,145,Spiaggia Sabbie Nere Santa Severa,Sabbie Nere Santa Severa,4.5,11806,42.01371519,11.96492672,08/12/2025,Winter 2025-2026,"352,54",61.0,True,16/11/2025,False,False,False,0.0
194,91,Spiaggia Salinelle,Spiaggia Salinelle,4.2,907,3.80202957,13.93190002,19/10/2025,Autumn 2025,"202,68",229.0,True,,False,True,False,
195,91,Spiaggia Salinelle,Spiaggia Salinelle,4.2,907,3.80202957,13.93190002,21/12/2025,Winter 2025-2026,"321,43",252.0,True,19/10/2025,False,True,False,0.0
197,99,Strongoli marina,Lungomare Di Strongoli Marina,4.2,432,3.92538e-07,1.710645e-07,20/10/2025,Autumn 2025,"533,95",40.0,True,,False,False,False,
198,99,Strongoli marina,Lungomare Di Strongoli Marina,4.2,432,3.92538e-07,1.710645e-07,12/11/2025,Autumn 2025,"533,95",40.0,False,,False,False,False,0.0
199,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,12/12/2024,Winter 2024-2025,0,48.0,True,17/03/2024,False,True,False,
200,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,08/01/2025,Winter 2024-2025,0,22.0,True,12/12/2024,False,True,False,
201,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,23/01/2025,Winter 2024-2025,0,21.0,True,08/01/2025,False,True,False,
202,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,05/02/2025,Winter 2024-2025,0,20.0,True,23/01/2025,False,True,False,
203,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,27/02/2025,Winter 2024-2025,0,67.0,True,05/02/2025,False,True,False,
204,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,06/03/2025,Spring 2025,0,104.0,True,27/02/2025,False,True,False,
205,120,Tombolo della Feniglia,Feniglia,4.4,3158,0.04241862,0.01124465,30/12/2025,Winter 2025-2026,0,69.0,True,06/03/2025,False,True,False,
207,30,trabucco,Spiaggia libera Le Dune,4.0,1541,4.398257e-07,1.013512e-07,10/07/2025,Summer 2025,"64,16",653.0,True,29/05/2025,False,False,False,
208,30,trabucco,Spiaggia libera Le Dune,4.0,1541,4.398257e-07,1.013512e-07,14/11/2025,Autumn 2025,"64,16",214.0,True,14/11/2025,False,False,False,0.0
209,87,Vergine Maria,Spiaggia Vergine Maria,4.0,2494,38.16625971,13.36852026,28/06/2025,Summer 2025,"140,01",148.0,True,28/06/2025,False,True,False,
210,87,Vergine Maria,Spiaggia Vergine Maria,4.0,2494,38.16625971,13.36852026,06/12/2025,Winter 2025-2026,"140,01",1685.0,False,28/06/2025,False,False,False,
